rank,name,score,pageviews,currentTier,id,family,lived,wikipediaUrl,imageUrl
1,Tyrannosaurus,1177951,182951,easy,1058,,,,https://images.dinosaurpictures.org/tyrannosaurus-rex_21e8.jpg
2,Stegosaurus,1043277,63277,easy,979,,,,https://images.dinosaurpictures.org/Stegosaurus/Stegosaurus_42a22ae9.jpg
3,Brachiosaurus,1017089,47089,easy,212,,,,https://images.dinosaurpictures.org/Brachiosaurus/Brachiosaurus_c9eb8de4.jpg
4,Allosaurus,1010277,50277,easy,47,,,,https://images.dinosaurpictures.org/Allosaurus/Allosaurus_f614bc6d.jpg
5,Velociraptor,990000,0,easy,1027,,,,https://images.dinosaurpictures.org/Velociraptor/Velociraptor_41a51641.jpg
6,Triceratops,985000,0,easy,1069,,,,https://images.dinosaurpictures.org/Triceratops/Triceratops_932bd8e6.jpg
7,Spinosaurus,975000,0,easy,977,,,,https://images.dinosaurpictures.org/Spinosaurus/Spinosaurus_8b26fbe0.jpg
8,Ankylosaurus,965000,0,easy,40,,,,https://images.dinosaurpictures.org/Ankylosaurus/Ankylosaurus_775883a1.jpg
9,Carnotaurus,963217,38217,easy,228,,,,https://images.dinosaurpictures.org/Carnotaurus/Carnotaurus_fc889e5e.jpg
10,Iguanodon,960827,25827,easy,476,,,,https://images.dinosaurpictures.org/Iguanodon/Iguanodon_8767aceb.jpg
11,Diplodocus,955000,0,easy,256,,,,https://images.dinosaurpictures.org/Diplodocus/Diplodocus_1f4392bc.jpg
12,Apatosaurus,950000,0,easy,69,,,,https://images.dinosaurpictures.org/Apatosaurus/Apatosaurus_b18ed95c.jpg
13,Brontosaurus,945000,0,easy,122,,,,https://images.dinosaurpictures.org/Brontosaurus/Brontosaurus_9cb76323.jpg
14,Parasaurolophus,940000,0,easy,829,,,,https://images.dinosaurpictures.org/Parasaurolophus/Parasaurolophus_c540a3ef.jpg
15,Giganotosaurus,935631,45631,easy,388,,,,https://images.dinosaurpictures.org/Giganotosaurus/Giganotosaurus_4e5a241f.jpg
16,Pachycephalosaurus,930000,0,easy,728,,,,https://images.dinosaurpictures.org/Pachycephalosaurus/Pachycephalosaurus_e206f071.jpg
17,Gallimimus,920589,10589,easy,389,,,,https://images.dinosaurpictures.org/Gallimimus/Gallimimus_7f6b8306.jpg
18,Dilophosaurus,920000,0,easy,322,,,,https://images.dinosaurpictures.org/Dilophosaurus/Dilophosaurus_c7406166.jpg
19,Deinonychus,915000,0,medium,259,,,,https://images.dinosaurpictures.org/Deinonychus/Deinonychus_a075aed6.jpg
20,Utahraptor,912197,37197,medium,1044,,,,https://images.dinosaurpictures.org/Utahraptor/Utahraptor_624ac6e3.jpg
21,Carcharodontosaurus,906034,21034,medium,210,,,,https://images.dinosaurpictures.org/Carcharodontosaurus/Carcharodontosaurus_87686283.jpg
22,Compsognathus,905000,0,medium,261,,,,https://images.dinosaurpictures.org/Compsognathus/Compsognathus_06897092.jpg
23,Archaeopteryx,904574,59574,medium,94,,,,https://images.dinosaurpictures.org/Archaeopteryx/Archaeopteryx_6cee6a9f.jpg
24,Therizinosaurus,895000,0,medium,1012,,,,https://images.dinosaurpictures.org/Therizinosaurus/Therizinosaurus_995f089b.jpg
25,Argentinosaurus,880000,0,medium,79,,,,https://images.dinosaurpictures.org/Argentinosaurus/Argentinosaurus_ad12c32f.jpg
26,Corythosaurus,871682,6682,medium,272,,,,https://images.dinosaurpictures.org/Corythosaurus/Corythosaurus_4e870a70.jpg
27,Edmontosaurus,870000,0,medium,299,,,,https://images.dinosaurpictures.org/Edmontosaurus/Edmontosaurus_805c3dde.jpg
28,Hadrosaurus,860000,0,medium,437,,,,https://images.dinosaurpictures.org/Hadrosaurus/Hadrosaurus_fbb99690.jpg
29,Plateosaurus,845199,10199,medium,844,,,,https://images.dinosaurpictures.org/Plateosaurus/Plateosaurus_e9c1d2a7.jpg
